grader,task_id,tier,tier_index,page_index,page_filename,score,elapsed_ms,component:block_match,component:text,component:position,component:color,component:block_ssim,component:edge_ssim,component:clip,component:cw_ssim,component:ssim,component:lpips,component:layout_fidelity,component:color_accuracy,component:typography_hierarchy,component:spacing_and_rhythm,component:component_structure,component:asset_placement,component:text_content_fidelity,component:visual_polish,component:semantic_correctness,component:overall_similarity
clip_only,ww-00008,adv_02_color_block,8,3,page_03.html,0.586575,125.49,,,,,,,0.586575,,,,,,,,,,,,,
clip_only,ww-00008,adv_02_color_block,8,4,page_04.html,0.591547,122.60,,,,,,,0.591547,,,,,,,,,,,,,
clip_only,ww-00008,adv_02_color_block,8,5,page_05.html,0.591584,137.27,,,,,,,0.591584,,,,,,,,,,,,,
clip_only,ww-00008,adv_03_text_dump,9,1,index.html,0.688778,148.65,,,,,,,0.688778,,,,,,,,,,,,,
clip_only,ww-00008,adv_03_text_dump,9,2,page_02.html,0.689062,142.94,,,,,,,0.689062,,,,,,,,,,,,,
clip_only,ww-00008,adv_03_text_dump,9,3,page_03.html,0.672483,144.16,,,,,,,0.672483,,,,,,,,,,,,,
clip_only,ww-00008,adv_03_text_dump,9,4,page_04.html,0.727968,141.65,,,,,,,0.727968,,,,,,,,,,,,,
clip_only,ww-00008,adv_03_text_dump,9,5,page_05.html,0.697550,152.88,,,,,,,0.697550,,,,,,,,,,,,,
vlm_judge,ww-00008,tier_01_verbatim,1,1,index.html,0.980000,9905.54,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_01_verbatim,1,2,page_02.html,0.980000,11287.48,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_01_verbatim,1,3,page_03.html,0.900000,15767.09,,,,,,,,,,,1.000000,1.000000,0.800000,0.800000,1.000000,0.800000,1.000000,0.800000,1.000000,0.800000
vlm_judge,ww-00008,tier_01_verbatim,1,4,page_04.html,0.980000,10273.84,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_01_verbatim,1,5,page_05.html,0.980000,12186.23,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_02_minor,2,1,index.html,0.980000,9420.97,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_02_minor,2,2,page_02.html,0.940000,12082.64,,,,,,,,,,,1.000000,1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000
vlm_judge,ww-00008,tier_02_minor,2,3,page_03.html,0.940000,11675.87,,,,,,,,,,,1.000000,1.000000,0.800000,0.800000,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000
vlm_judge,ww-00008,tier_02_minor,2,4,page_04.html,0.980000,9930.88,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_02_minor,2,5,page_05.html,0.980000,10754.75,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_03_section_removed,3,1,index.html,0.860000,12184.13,,,,,,,,,,,0.800000,1.000000,0.800000,0.800000,0.800000,0.800000,1.000000,0.800000,1.000000,0.800000
vlm_judge,ww-00008,tier_03_section_removed,3,2,page_02.html,0.980000,11841.02,,,,,,,,,,,1.000000,1.000000,1.000000,0.800000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
vlm_judge,ww-00008,tier_03_section_removed,3,3,page_03.html,0.860000,11880.43,,,,,,,,,,,0.800000,1.000000,0.800000,0.800000,0.800000,0.800000,1.000000,0.800000,1.000000,0.800000
vlm_judge,ww-00008,tier_03_section_removed,3,4,page_04.html,0.820000,12642.77,,,,,,,,,,,0.800000,0.800000,0.800000,0.800000,0.600000,0.800000,1.000000,0.800000,1.000000,0.800000
vlm_judge,ww-00008,tier_03_section_removed,3,5,page_05.html,0.900000,12276.48,,,,,,,,,,,1.000000,1.000000,0.800000,0.800000,1.000000,1.000000,0.800000,0.800000,1.000000,0.800000
vlm_judge,ww-00008,tier_04_shuffle_repaint,4,1,index.html,0.600000,12191.84,,,,,,,,,,,0.400000,0.200000,0.600000,0.600000,0.800000,0.600000,1.000000,0.400000,1.000000,0.400000
vlm_judge,ww-00008,tier_04_shuffle_repaint,4,2,page_02.html,0.600000,14530.75,,,,,,,,,,,0.400000,0.200000,0.600000,0.600000,0.800000,0.600000,1.000000,0.400000,1.000000,0.400000
vlm_judge,ww-00008,tier_04_shuffle_repaint,4,3,page_03.html,0.620000,13431.36,,,,,,,,,,,0.400000,0.200000,0.800000,0.600000,0.800000,0.600000,1.000000,0.400000,1.000000,0.400000
vlm_judge,ww-00008,tier_04_shuffle_repaint,4,4,page_04.html,0.600000,14667.55,,,,,,,,,,,0.400000,0.200000,0.600000,0.600000,0.800000,0.600000,1.000000,0.400000,1.000000,0.400000
vlm_judge,ww-00008,tier_04_shuffle_repaint,4,5,page_05.html,0.580000,11382.48,,,,,,,,,,,0.400000,0.200000,0.600000,0.600000,0.800000,0.400000,1.000000,0.400000,1.000000,0.400000
vlm_judge,ww-00008,tier_05_blank,5,1,index.html,0.200000,10456.84,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,tier_05_blank,5,2,page_02.html,0.200000,8874.95,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,tier_05_blank,5,3,page_03.html,0.200000,11536.50,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,tier_05_blank,5,4,page_04.html,0.200000,13443.67,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,tier_05_blank,5,5,page_05.html,0.200000,10293.05,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,tier_06_within_block_drift,6,1,index.html,0.740000,13186.57,,,,,,,,,,,1.000000,0.400000,0.600000,0.800000,0.800000,0.600000,1.000000,0.600000,1.000000,0.600000
vlm_judge,ww-00008,tier_06_within_block_drift,6,2,page_02.html,0.780000,14673.77,,,,,,,,,,,1.000000,0.400000,0.800000,0.800000,1.000000,0.600000,1.000000,0.600000,1.000000,0.600000
vlm_judge,ww-00008,tier_06_within_block_drift,6,3,page_03.html,0.800000,11085.38,,,,,,,,,,,1.000000,0.400000,0.800000,0.800000,1.000000,0.800000,1.000000,0.600000,1.000000,0.600000
vlm_judge,ww-00008,tier_06_within_block_drift,6,4,page_04.html,0.720000,12584.33,,,,,,,,,,,1.000000,0.400000,0.600000,0.800000,0.800000,0.600000,1.000000,0.400000,1.000000,0.600000
vlm_judge,ww-00008,tier_06_within_block_drift,6,5,page_05.html,0.700000,13108.46,,,,,,,,,,,1.000000,0.400000,0.600000,0.800000,0.800000,0.400000,1.000000,0.400000,1.000000,0.600000
vlm_judge,ww-00008,adv_01_brand_color_blank,7,1,index.html,0.200000,7311.60,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_01_brand_color_blank,7,2,page_02.html,0.220000,8206.58,,,,,,,,,,,0.200000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_01_brand_color_blank,7,3,page_03.html,0.200000,8952.81,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_01_brand_color_blank,7,4,page_04.html,0.200000,8978.83,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_01_brand_color_blank,7,5,page_05.html,0.220000,9749.43,,,,,,,,,,,0.200000,0.400000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_02_color_block,8,1,index.html,0.200000,7493.45,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_02_color_block,8,2,page_02.html,0.200000,9208.14,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_02_color_block,8,3,page_03.html,0.200000,9222.03,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_02_color_block,8,4,page_04.html,0.200000,8800.11,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_02_color_block,8,5,page_05.html,0.200000,7170.05,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
vlm_judge,ww-00008,adv_03_text_dump,9,1,index.html,0.300000,11610.14,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.800000,0.200000,0.600000,0.200000
vlm_judge,ww-00008,adv_03_text_dump,9,2,page_02.html,0.300000,11841.72,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.800000,0.200000,0.600000,0.200000
vlm_judge,ww-00008,adv_03_text_dump,9,3,page_03.html,0.320000,12079.56,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.800000,0.200000,0.800000,0.200000
vlm_judge,ww-00008,adv_03_text_dump,9,4,page_04.html,0.300000,12904.28,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.800000,0.200000,0.600000,0.200000
vlm_judge,ww-00008,adv_03_text_dump,9,5,page_05.html,0.300000,11760.78,,,,,,,,,,,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.800000,0.200000,0.600000,0.200000
